Category,Item #,Pack,Size,Brand,Description,MPC Code,CW,Cs Qty,Cs Total $,Cs Avg $,Split Qty,Split Total $,Split Avg $,Weight,Total Sales $
NA,2536555,2,150 CT,SYS CLS,BACON PRECOOKED REGULAR SLICE,811,N,24,1119.56,46.648333,0,0.1,0.2,72,1119.56.1
NA,7792187,4.0,10 LB,SYS CLS,CHICKEN CVP THIGH BNLS SKLS,78202,N,11.0,959.61,87.237272,0.0,0.0,0.0,440.0,959.61
NA,8938565,108.0,"7""",BOSCOS,BREADSTICK CHEESE FILD,17021081120,N,21.0,918.75,43.75,0.0,0.0,0.0,420.0,918.75
NA,8975898,2.0,5 LB,AUSTBLU,PORK BBQ SMKD PULLED PREMIUM,13426,N,17.0,881.45,51.85,0.0,0.0,0.0,170.0,881.45
NA,7155640,1.0,15 LB,PIERCE,CHICKEN BRD 8PC PRCK SUP-CHIC,65015,N,16.0,872.0,54.5,0.0,0.0,0.0,240.0,872.0
NA,4044558,96.0,1 OZ,GM,CEREAL CHEERIO HNYNUT GLTN FR,16000-11918,N,18.0,758.16,42.12,0.0,0.0,0.0,102.6,758.16
NA,8265585,4.0,9LB,ECOLAB,DETERGENT MACH SOLID POWER XL,6100185,N,5.0,751.95,150.39,0.0,0.0,0.0,180.0,751.95
NA,5413606,2.0,5 LB,PIERCE,CHICKEN BRST CHUNK TEMPURA,111324,N,18.0,719.1,39.95,0.0,0.0,0.0,180.0,719.1
NA,4631648,2.0,5#AVG,SPRGMTN,CHICKEN BRST DCD COOKED 1\2IN,42-03500,Y,20.0,699.0,34.95,0.0,0.0,0.0,200.0,699.0
NA,2565539,2.0,20 LB,WHLFCLS,EGG WHL LIQUID FRSH W/CITRC,74865-35081-00,N,11.0,673.31,61.21,0.0,0.0,0.0,440.0,673.31
NA,7098169,1.0,EA,SOTF,SUPPLY SOTF JANSAN,SOTFJANSAN0EB,N,1.0,655.26,655.26,0.0,0.0,0.0,6.0,655.26
NA,5061643,1.0,35 LB,SYS CLS,OIL SALAD CANOLA ZTF,5020473,N,16.0,639.04,39.94,0.0,0.0,0.0,560.0,639.04
NA,3769106,100.0,60 GAL,SYS CLS,LINER TRASH 38X58 1.5 ML CLR,H7658ACS,N,11.0,629.2,57.2,0.0,0.0,0.0,178.2,629.2
NA,1114016,80.0,4 OZ,FIREREL,BEEF PATTY 80/20 RND FRZ,7701174,N,10.0,574.04,57.404,0.0,0.0,0.0,200.0,574.04
NA,7087133,200.0,.75 OZ,JIF,PEANUT BUTTER CREAMY CUP,5150008051,N,17.0,563.04,33.12,0.0,0.0,0.0,159.375,563.04
NA,5335544,20.0,16 IN,RICHS,DOUGH PIZZA SELF RISE 16IN,3604,N,12.0,562.08,46.84,0.0,0.0,0.0,442.56,562.08
NA,0566838,4.0,10# AV,FIRECLS,BEEF GRND BULK 81/19 CHUB FRS,66838,Y,4.0,557.46,139.365,0.0,0.0,0.0,161.88,557.46
NA,6738928,48.0,4 OZ,JUSTBGL,BAGEL EVERYTHING SLI,743672002551,N,25.0,532.25,21.29,0.0,0.0,0.0,300.0,532.25
NA,5494291,1.0,15 LB,RNCHGRL,BACON LAYFLAT 14/18 SMOKED #2,10521-2895,N,10.0,532.1,53.21,0.0,0.0,0.0,150.0,532.1
NA,3222686,4.0,1 GAL,SYS CLS,OIL CANOLA SAL,210602,N,11.0,527.34,47.94,0.0,0.0,0.0,337.92,527.34
NA,7573280,72.0,2 CT,KELLOGG,POP TART STWBRY FRSTD POUCH,3800031732,N,12.0,512.04,42.67,0.0,0.0,0.0,222.0,512.04
