"013425 ST. ANDREWS SEWANEE SCHOOL, 290 QUINTARD RD, SEWANEE, TN 37375-3071",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 15
5423140,2,5 LB,TYSON,CHICKEN POPCORN BRST BRD RTC,10043140928,N,32.0,923.52,28.86,0.0,0.0,0.0,320.0,923.52
4347126,2,8-10#,SYS CLS,TURKEY BRST BNLS RAW FOIL,47126,Y,12.0,790.21,65.850833,0.0,0.0,0.0,213.8,790.21
1206541,2,5 LB,TYSON,CHICKEN TNDR BRD ORIG FLAT,10774410928,N,31.0,719.82,23.22,0.0,0.0,0.0,310.0,719.82
8754939,30,2#UP,CAB,BEEF SIRL BALL TIP CH 185B,D4496AH,Y,2.0,565.64,282.82,0.0,0.0,0.0,121.12,565.64
1114016,80,4 OZ,FIREREL,BEEF PATTY 80/20 RND FRZ,7701174,N,9.0,541.94,60.215555,0.0,0.0,0.0,180.0,541.94
7203474,4,10 LB,SYS CLS,CHICKEN CVP BRST B/S RDM JUMBO,78204,N,6.0,522.2,87.033333,0.0,0.0,0.0,240.0,522.2
2366607,15,2 LB,WHLFCLS,EGG WHL LIQ FRSH W/CITRIC TFF,74865-29434-00,N,10.0,492.7,49.27,0.0,0.0,0.0,300.0,492.7
3750611,6,10#AVG,CAB,BEEF GROUND BULK 75/25 CHUB FZ,1029562,Y,3.0,454.8,151.6,0.0,0.0,0.0,184.4,454.8
1861525,16,3# AVG,SYS CLS,CHICKEN CVP 8PC CUT FRSH,8014-0895,Y,5.0,364.54,72.908,0.0,0.0,0.0,257.4,364.54
8142051,5,10#UP,CAB,BEEF BRISKET DCKL- OFF 120,D7106AH,Y,1.0,326.93,326.93,0.0,0.0,0.0,65.9,326.93
8204517,1,15LB,SMTHFLD,BACON LAYFLAT 18/22,10070800045096,N,5.0,319.75,63.95,0.0,0.0,0.0,75.0,319.75
1810910,2,5 LB,IMPFRSH,BEAN GREEN FDSVC TRIMMED FRSH,1810910,N,11.0,316.86,28.805454,0.0,0.0,0.0,110.0,316.86
4347514,2,8-10#,SYS CLS,TURKEY BRST BNLS RAW BAG,2265570148,Y,5.0,306.95,61.39,0.0,0.0,0.0,93.27,306.95
7667355,4,10LB,SYS CLS,CHICKEN CVP WING 1ST&2ND 10-14,V733,N,2.0,291.15,145.575,0.0,0.0,0.0,80.0,291.15
5335544,20,16 IN,RICHS,DOUGH PIZZA SELF RISE 16IN,3604,N,6.0,281.04,46.84,0.0,0.0,0.0,221.28,281.04
7093146,2,8-12LB,BBRLIMP,BEEF ROAST POT SHLDR CLOD 20,755951,Y,2.0,280.21,140.105,0.0,0.0,0.0,47.38,280.21
7031085,80,3 OZ,JYC,APTZR VEGETABLE EGGROLL 3OZ,1911,N,7.0,273.35,39.05,0.0,0.0,0.0,105.0,273.35
2431167,2,5 LB,NATHANS,FRANK ALL BEEF 5X1 7 SKLS FRZ,88313097126,N,8.0,270.0,33.75,0.0,0.0,0.0,80.0,270.0
1018746,1,10 LB,PORTCLS,CATFISH NUG BRD 1-3 OZ USA,550-C,N,8.0,269.4,33.675,0.0,0.0,0.0,80.0,269.4
7626013,1,35 LB,SYS CLS,SHORTENING FRY CANOLA CLR ZTF,110032616,N,7.0,267.4,38.2,0.0,0.0,0.0,245.0,267.4
7061983,1,10 LB,HIGHLNR,SALMON PORTION IQF 6OZ CHILEAN,1061106,N,3.0,245.55,81.85,0.0,0.0,0.0,30.0,245.55
1578293,1,10 LB,PORTSIM,POLLOCK FIL IQF SKLS 4-6OZ USA,1578293,N,6.0,237.3,39.55,0.0,0.0,0.0,60.0,237.3
3512191,4,7 LB,SAVANNH,ENTREE DRESSING CORNBREAD,38016,N,5.0,220.5,44.1,0.0,0.0,0.0,140.0,220.5
2591683,60,3 OZ,CASACLS,ENCHILADA CHKN,2591683,N,5.0,216.0,43.2,0.0,0.0,0.0,56.25,216.0
9792771,6,43 OZ,SYS CLS,PIE PUMPKIN T&S 10,7243,N,5.0,214.7,42.94,0.0,0.0,0.0,80.625,214.7
1466333,4,5 LB,AREZIMP,CHEESE MOZZ PIZZ BLD FEATHERED,1006866,N,4.0,203.85,50.9625,0.0,0.0,0.0,80.0,203.85
9786617,6,38 OZ,SYS CLS,PIE APPLE LATTC T&S 10,7233,N,5.0,202.75,40.55,0.0,0.0,0.0,71.25,202.75
