"013425 ST. ANDREWS SEWANEE SCHOOL, 290 QUINTARD RD, SEWANEE, TN 37375-3071",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 15
7061983,1,10 LB,HIGHLNR,SALMON PORTION IQF 6OZ CHILEAN,1061106,N,8.0,578.8,72.35,0.0,0.0,0.0,80.0,578.8
2366607,15,2 LB,WHLFCLS,EGG WHL LIQ FRSH W/CITRIC TFF,74865-29434-00,N,8.0,394.16,49.27,0.0,0.0,0.0,240.0,394.16
8142366,6,10#AVG,CAB,BEEF GRND CHUCK FINE 80/20FRSH,D0386BHV,Y,2.0,369.42,184.71,0.0,0.0,0.0,121.6,369.42
1114016,80,4 OZ,FIREREL,BEEF PATTY 80/20 RND FRZ,7701174,N,6.0,359.58,59.93,0.0,0.0,0.0,120.0,359.58
7077657,1,15 LB,PORTCLS,PANGASIUS FILET IQF 3-5 OZ,3-5TBD,N,6.0,293.16,48.86,0.0,0.0,0.0,90.0,293.16
1466333,4,5 LB,AREZIMP,CHEESE MOZZ PIZZ BLD FEATHERED,1006866,N,6.0,292.88,48.813333,0.0,0.0,0.0,120.0,292.88
1861525,16,3# AVG,SYS CLS,CHICKEN CVP 8PC CUT FRSH,8014-0895,Y,4.0,288.24,72.06,0.0,0.0,0.0,206.0,288.24
7792187,4,10 LB,SYS CLS,CHICKEN CVP THIGH BNLS SKLS,78202,N,3.0,267.06,89.02,0.0,0.0,0.0,120.0,267.06
8754939,30,2#UP,CAB,BEEF SIRL BALL TIP CH 185B,D4496AH,Y,1.0,259.16,259.16,0.0,0.0,0.0,72.21,259.16
6632582,6,2 LB,HORMEL,BEEF CORNED SLI CKD FRSH,19038,N,3.0,254.7,84.9,0.0,0.0,0.0,36.0,254.7
7203474,4,10 LB,SYS CLS,CHICKEN CVP BRST B/S RDM JUMBO,78204,N,3.0,250.46,83.486666,0.0,0.0,0.0,120.0,250.46
8974667,1,10#AVG,PATAK,SAUSAGE BRATWURST RAW LINK 4X1,36-01008,Y,5.0,239.75,47.95,0.0,0.0,0.0,50.0,239.75
1472230,2,5 LB,SYS CLS,CHICKEN TNDR FRTR ORIG FLT SEL,22185-0895,N,10.0,230.1,23.01,0.0,0.0,0.0,100.0,230.1
8702928,1,15LB,SMTHFLD,BACON LAYFLAT CC 18/22 APL SMK,70247174840,N,4.0,229.4,57.35,0.0,0.0,0.0,60.0,229.4
9901031,40,16.9OZ,NIAGARA,WATER BOTTLED SPRING,NDW05L40PSPCHN,N,29.0,218.37,7.53,0.0,0.0,0.0,1322.4,218.37
2591683,60,3 OZ,CASACLS,ENCHILADA CHKN,2591683,N,5.0,216.0,43.2,0.0,0.0,0.0,56.25,216.0
7067330,1,100 CT,SYS IMP,KIT CUTLERY PLAS F/K/S/N SLVR,CMFSKX100NSY,N,5.0,193.9,38.78,0.0,0.0,0.0,28.2,193.9
1412642,240,1.33OZ,OTSPKMY,DOUGH COOKIE CHOCOLATE CHIP,58800,N,4.0,184.08,46.02,0.0,0.0,0.0,79.8,184.08
0124636,10,12 CT,SYS CLS,BUN HAMBURGER PLAIN 4IN 1.72OZ,51706,N,6.0,180.5,30.083333,0.0,0.0,0.0,76.5,180.5
9613233,2,5 LB,TYSON,CHICKEN WING CKD BRD HOT/SPICY,10059850928,N,4.0,179.2,44.8,0.0,0.0,0.0,40.0,179.2
8839847,1,10LB,SAMBAND,POLLOCK BRD 4OZ PRCKD SQ,10022648,N,5.0,177.25,35.45,0.0,0.0,0.0,50.0,177.25
7000203,96,5.47OZ,SYS CLS,CHICKEN THIGH IQF BCK PRTN,14824-0895,N,3.0,174.78,58.26,0.0,0.0,0.0,98.4,174.78
5423140,2,5 LB,TYSON,CHICKEN POPCORN BRST BRD RTC,10043140928,N,6.0,173.16,28.86,0.0,0.0,0.0,60.0,173.16
9234246,60,EA,KELLOGG,CEREAL ASSORTED FAV CUP PAK,3800012611,N,3.0,171.15,57.05,0.0,0.0,0.0,27.0,171.15
2775584,2,5 LB,TYSON,CHICKEN MEAT DICE 65D/35W LSOD,10253080928,N,5.0,170.0,34.0,0.0,0.0,0.0,50.0,170.0
2687295,12,6CT,MILLBAK,BUN BRAT PRETZL SLI 2.6Z VEGAN,8281F_SL,N,4.0,154.12,38.53,0.0,0.0,0.0,52.0,154.12
6908044,240,1 OZ,LECOQ,DOUGH DANISH BLUBRY RTB,RBLDS-240,N,1.0,150.5,150.5,0.0,0.0,0.0,15.0,150.5
2822353,4,5LB,BBRLIMP,CHEESE CHDR SHRP FTHR SHRD YEL,169733,N,3.0,150.45,50.15,0.0,0.0,0.0,60.0,150.45
1017219,2,5 LB,SYS CLS,CHICKEN TNDR BRD ORIG FLAT SM,19380-0895,N,4.0,147.4,36.85,0.0,0.0,0.0,40.0,147.4
1615004,4,8 LB,SYS CLS,ENTREE CHICKEN & DUMPLING PCH,78001299,N,2.0,146.68,73.34,0.0,0.0,0.0,64.0,146.68
3222686,4,1 GAL,SYS CLS,OIL CANOLA SAL,210602,N,3.0,143.82,47.94,0.0,0.0,0.0,92.16,143.82
0055507,3,3 LTR,SUNKSTS,JUICE ORANGE FZN CONC 3X3L 4+1,10000650,N,2.0,138.36,69.18,0.0,0.0,0.0,48.88,138.36
7143036,1,10 LB,KOCH,CHICKEN TNDRLN BRD FRTR HMSTYL,87140,N,4.0,135.64,33.91,0.0,0.0,0.0,40.0,135.64
2431167,2,5 LB,NATHANS,FRANK ALL BEEF 5X1 7 SKLS FRZ,88313097126,N,4.0,135.0,33.75,0.0,0.0,0.0,40.0,135.0
4903581,1,15 LB,SYS CLS,CHICKEN 8PC BRD HNY STNG PCK,20727-895,N,3.0,129.75,43.25,0.0,0.0,0.0,45.0,129.75
5020197,6,2.5 LB,SYS IMP,POTATO FRY SWEET 3/8,1000006056,N,5.0,129.2,25.84,0.0,0.0,0.0,75.0,129.2
1630458,12,20 OZ,BKRSCLS,BREAD WHITE RND TOP SLI,11812,N,5.0,127.78,25.556,0.0,0.0,0.0,75.0,127.78
4240331,144,1OZ,JDMTCLS,APTZR VEGETABLE SPRING ROLL,4240331,N,2.0,126.84,63.42,0.0,0.0,0.0,18.0,126.84
2275083,3,3 PC,BCH BLK,PORK RIB BCK 2.25 UP PLD,61975,Y,1.0,123.15,123.15,0.0,0.0,0.0,21.8,123.15
3062542,2,5#,JHNSVLE,BRATWURST 5X1 PRCK 5.5 A/C,101544,N,4.0,122.2,30.55,0.0,0.0,0.0,40.0,122.2
9486192,2,5 LB,SYS CLS,CHICKEN POPCORN BRD PCK MBE,54400,N,4.0,119.96,29.99,0.0,0.0,0.0,40.0,119.96
